Geneid	sub06	sub07	sub08	sub21	sub23	sub24
AT1G02260	15	8	11	5	2	10
AT1G02270	7	14	8	10	12	17
AT1G08795	0	0	0	0	0	0
AT1G02280	43	29	43	39	35	24
AT1G02290	4	4	2	3	3	5
AT1G02300	6	8	15	2	2	0
AT1G02305	25	34	35	25	32	48
AT1G04097	0	0	0	0	0	0
AT1G02310	0	0	0	0	0	0
AT1G04103	0	0	0	0	0	0
AT1G02320	0	0	0	0	0	0
AT1G02330	11	13	11	7	10	16
AT1G02335	8	9	11	3	8	4
AT1G02340	0	0	2	0	0	0
AT1G02350	0	2	0	0	0	0
AT1G04107	2	6	3	12	5	3
AT1G02360	15	15	12	20	5	33
AT1G02370	2	1	7	2	3	6
AT1G02380	5	0	0	1	0	0
AT1G02390	3	0	0	0	2	0
AT1G02400	3	2	6	0	0	2
AT1G02405	1	0	1	0	0	1
AT1G02410	14	12	13	7	8	12
AT1G02420	0	0	0	0	0	0
AT1G04117	0	0	0	0	0	0
AT1G02430	0	0	0	0	0	0
AT1G04123	0	0	0	0	0	0
AT1G02440	0	0	1	0	0	1
AT1G02450	2	3	4	9	18	36
AT1G02460	3	1	0	1	7	5
AT1G02470	1	0	0	0	0	0
AT1G02475	9	9	10	15	10	7
AT1G02480	0	0	0	0	0	0
AT1G02490	0	0	0	0	0	0
AT1G02500	167	149	195	226	227	350
AT1G02510	0	0	0	0	0	0
AT1G02520	0	0	1	0	0	1
AT1G02530	0	0	0	0	0	0
AT1G02540	0	0	0	0	0	0
AT1G02550	0	0	0	0	0	0
AT1G02560	181	142	184	90	83	114
AT1G02570	0	0	0	0	0	0
AT1G02575	0	0	0	0	0	0
AT1G02580	0	1	0	0	0	0
AT1G08805	0	0	0	0	0	0
AT1G04127	0	0	0	0	0	0
AT1G02590	0	0	0	0	0	0
AT1G02600	0	0	0	0	0	0
AT1G02610	1	2	4	1	0	4
AT1G02620	1	0	0	0	0	0
AT1G04133	0	0	0	0	0	0
AT1G04137	0	0	0	0	0	0
AT1G02630	0	1	0	0	1	0
AT1G02640	33	33	30	2	4	1
AT1G02650	3	2	1	0	0	1
AT1G02660	23	12	21	2	2	2
AT1G02670	2	0	0	0	0	0
AT1G02680	4	7	7	9	2	7
AT1G04143	0	0	0	0	0	0
AT1G02690	9	6	6	1	1	3
AT1G02700	0	0	0	0	0	1
AT1G02705	0	0	0	0	0	0
AT1G02710	0	0	0	0	0	0
AT1G02720	4	9	2	9	4	8
AT1G02730	28	15	11	9	8	9
AT1G02740	3	2	6	0	1	2
AT1G02750	4	4	7	3	3	3
AT1G02760	0	0	0	0	0	0
AT1G02770	0	0	0	0	0	0
AT1G02780	444	403	459	512	543	548
AT1G02790	0	0	0	0	0	0
AT1G02800	1	4	1	1	3	1
AT1G02810	1	0	1	0	0	2
AT1G02813	0	0	0	0	0	0
AT1G02816	5	6	8	2	3	3
AT1G02820	2	0	3	3	3	0
AT1G02830	0	0	0	0	0	0
AT1G02840	32	29	49	26	13	28
AT1G02850	1	0	7	1	0	6
AT1G02860	6	1	7	1	1	1
AT1G04147	0	0	0	0	0	0
AT1G02870	8	7	13	2	8	13
AT1G04153	0	0	0	0	0	0
AT1G08815	0	0	1	0	2	0
AT1G02880	4	5	8	4	4	2
AT1G02890	30	33	38	17	15	18
AT1G02900	0	0	0	1	3	0
AT1G02910	40	25	31	16	19	22
AT1G02920	40	51	226	57	13	354
AT1G02930	84	114	423	254	71	1391
AT1G02940	0	0	0	1	0	1
AT1G02950	0	0	0	2	0	1
AT1G02952	0	0	0	0	0	0
AT1G02960	9	7	5	5	1	2
AT1G02965	0	0	0	0	0	0
AT1G02970	3	1	3	1	1	1
AT1G02980	0	0	0	0	0	0
AT1G02990	12	13	15	5	3	5
AT1G03000	18	16	23	2	4	4
AT1G03010	0	1	4	0	0	1
AT1G03020	0	0	2	0	4	2
AT1G03030	5	3	2	4	3	3
AT1G03040	15	12	26	20	19	35
AT1G03050	0	0	0	0	0	0
AT1G03055	2	0	4	0	4	2
AT1G03060	34	31	30	19	9	17
AT1G03070	0	0	0	0	1	0
AT1G03080	25	30	48	15	15	14
AT1G03090	42	30	37	6	2	4
AT1G04157	0	0	0	0	0	0
AT1G03100	0	0	2	1	0	2
