"gene"	"xref"	"sub06"	"sub07"	"sub08"	"sub21"	"sub23"	"sub24"
"AT1G01500"	839430	18	10	17	15	19	22
"AT1G01510"	839401	20	10	15	15	9	15
"AT1G01520"	839337	0	0	0	1	0	0
"AT1G01520"	839337	0	0	0	1	0	0
"AT1G01520"	839337	0	0	0	1	0	0
"AT1G01520"	839337	0	0	0	1	0	0
"AT1G01520"	839337	0	0	0	1	0	0
"AT1G01530"	837142	0	0	0	0	0	0
"AT1G01540"	839533	68	37	49	14	13	9
"AT1G01540"	839533	68	37	49	14	13	9
"AT1G01550"	839536	93	80	106	77	95	133
"AT1G01550"	839536	93	80	106	77	95	133
"AT1G01560"	839523	5	8	6	2	1	2
"AT1G01560"	839523	5	8	6	2	1	2
"AT1G01560"	839523	5	8	6	2	1	2
"AT1G01560"	839523	5	8	6	2	1	2
"AT1G01570"	837183	2	0	0	1	0	1
"AT1G01570"	837183	2	0	0	1	0	1
"AT1G01580"	839411	0	1	1	0	1	1
"AT1G01580"	839411	0	1	1	0	1	1
"AT1G01590"	837194	0	1	0	0	0	0
"AT1G01600"	839347	4	4	4	5	8	11
"AT1G01610"	839297	22	17	26	2	4	7
"AT1G01620"	839235	289	235	259	219	280	161
"AT1G01620"	839235	289	235	259	219	280	161
"AT1G01630"	839231	23	24	27	27	37	37
"AT1G01640"	839534	0	1	2	2	0	1
"AT1G01640"	839534	0	1	2	2	0	1
"AT1G01650"	839499	15	10	20	6	4	8
"AT1G01650"	839499	15	10	20	6	4	8
"AT1G01650"	839499	15	10	20	6	4	8
"AT1G01650"	839499	15	10	20	6	4	8
"AT1G04027"	NA	0	0	0	0	0	0
"ath-miR2112-3p"	NA	0	0	0	0	0	0
"ath-miR2112-5p"	NA	0	0	0	0	0	0
"AT1G01660"	839461	1	1	0	0	1	0
"AT1G01660"	839461	1	1	0	0	1	0
"AT1G01670"	839365	1	0	2	0	0	2
"AT1G01670"	839365	1	0	2	0	0	2
"AT1G01670"	839365	1	0	2	0	0	2
"AT1G01680"	839251	0	0	7	6	0	36
"AT1G01690"	839243	5	4	2	1	1	4
"AT1G01690"	839243	5	4	2	1	1	4
"AT1G01690"	839243	5	4	2	1	1	4
"AT1G01695"	6241450	0	1	0	0	0	0
"AT1G08775"	NA	0	0	0	0	0	0
"AT1G04033"	NA	0	0	0	0	0	0
"AT1G04037"	NA	0	0	0	0	1	1
"AT1G01700"	839250	0	1	1	0	0	0
"AT1G01700"	839250	0	1	1	0	0	0
"AT1G01700"	839250	0	1	1	0	0	0
"AT1G01700"	839250	0	1	1	0	0	0
"AT1G01700"	839250	0	1	1	0	0	0
"AT1G01710"	839254	18	10	13	5	13	8
"AT1G01715"	28716021	0	0	0	0	0	0
"AT1G01715"	28716021	0	0	0	0	0	0
"AT1G04043"	NA	0	0	0	0	0	0
"AT1G01720"	839265	2	4	12	6	9	20
"AT1G01725"	839271	6	1	3	2	1	1
"AT1G04047"	NA	0	0	0	0	0	0
"AT1G01730"	839260	7	9	29	25	12	25
"AT1G01740"	839253	2	4	2	0	1	2
"AT1G01740"	839253	2	4	2	0	1	2
"AT1G01740"	839253	2	4	2	0	1	2
"AT1G01740"	839253	2	4	2	0	1	2
"AT1G01740"	839253	2	4	2	0	1	2
"AT1G04053"	NA	0	0	0	0	0	0
"AT1G01750"	839281	0	1	0	0	0	0
"AT1G01750"	839281	0	1	0	0	0	0
"AT1G01760"	839252	1	1	1	0	0	0
"AT1G01760"	839252	1	1	1	0	0	0
"AT1G01760"	839252	1	1	1	0	0	0
"AT1G01760"	839252	1	1	1	0	0	0
"AT1G04057"	NA	0	0	0	0	0	0
"AT1G01770"	837323	15	3	17	3	3	4
"AT1G01780"	839267	5	0	7	3	0	1
"AT1G01790"	837332	78	75	109	24	22	15
"AT1G01790"	837332	78	75	109	24	22	15
"AT1G04063"	NA	0	0	0	0	0	0
"AT1G01800"	839259	15	26	29	23	26	36
"AT1G01800"	839259	15	26	29	23	26	36
"AT1G01810"	839247	0	0	0	0	0	0
"AT1G01820"	839257	26	39	28	25	25	40
"AT1G01830"	839264	10	5	14	8	11	9
"AT1G01830"	839264	10	5	14	8	11	9
"AT1G01830"	839264	10	5	14	8	11	9
"AT1G04067"	NA	0	0	0	0	0	0
"AT1G01840"	839291	0	1	0	0	0	0
"AT1G01860"	839283	5	9	4	3	1	2
"AT1G01860"	839283	5	9	4	3	1	2
"AT1G01860"	839283	5	9	4	3	1	2
"AT1G01860"	839283	5	9	4	3	1	2
"AT1G01860"	839283	5	9	4	3	1	2
"AT1G04073"	NA	0	0	0	0	0	0
"AT1G01870"	NA	0	0	0	0	0	0
"AT1G01880"	837373	1	0	0	0	2	2
"AT1G01880"	837373	1	0	0	0	2	2
"AT1G01880"	837373	1	0	0	0	2	2
"AT1G01880"	837373	1	0	0	0	2	2
"AT1G01890"	NA	0	0	0	0	0	0
"AT1G01900"	839318	3	6	0	1	6	2
"AT1G04077"	NA	0	0	0	0	0	0
"AT1G01910"	839305	14	24	13	24	24	35
"AT1G01910"	839305	14	24	13	24	24	35
"AT1G01910"	839305	14	24	13	24	24	35
"AT1G01910"	839305	14	24	13	24	24	35
"AT1G01910"	839305	14	24	13	24	24	35
"AT1G04083"	NA	0	0	0	0	0	0
"AT1G01920"	839313	9	3	10	5	5	3
"AT1G01920"	839313	9	3	10	5	5	3
"AT1G01920"	839313	9	3	10	5	5	3
"AT1G01920"	839313	9	3	10	5	5	3
"AT1G01920"	839313	9	3	10	5	5	3
"AT1G01930"	839310	11	12	10	4	4	7
"AT1G01940"	839309	4	5	13	6	8	14
"AT1G01950"	839306	12	6	17	4	6	1
"AT1G01950"	839306	12	6	17	4	6	1
"AT1G01950"	839306	12	6	17	4	6	1
"AT1G01950"	839306	12	6	17	4	6	1
"AT1G01960"	839301	59	58	48	13	9	8
"AT1G01970"	839299	16	2	19	10	9	7
"AT1G01980"	839296	0	0	0	0	0	0
"AT1G01990"	837456	14	10	16	16	12	14
"AT1G02000"	839289	6	5	5	8	7	5
"AT1G02010"	839288	5	2	3	2	0	0
"AT1G02010"	839288	5	2	3	2	0	0
"AT1G02010"	839288	5	2	3	2	0	0
"AT1G02010"	839288	5	2	3	2	0	0
"AT1G02010"	839288	5	2	3	2	0	0
"AT1G02010"	839288	5	2	3	2	0	0
"AT1G02020"	837477	12	10	11	3	4	1
"AT1G02020"	837477	12	10	11	3	4	1
"AT1G02020"	837477	12	10	11	3	4	1
"AT1G02030"	839285	0	1	0	0	0	0
"AT1G02040"	839284	0	0	0	0	0	0
"AT1G02050"	839280	6	1	4	2	2	3
"AT1G02060"	839279	3	4	5	0	0	1
"AT1G02065"	839275	3	1	0	0	0	0
"AT1G02065"	839275	3	1	0	0	0	0
"AT1G02067"	28716022	0	0	0	0	0	0
"AT1G02070"	839270	0	0	0	0	1	1
"AT1G02080"	839244	47	56	60	27	8	16
"AT1G02080"	839244	47	56	60	27	8	16
"AT1G02080"	839244	47	56	60	27	8	16
"AT1G02090"	839241	16	7	16	11	6	19
"AT1G02090"	839241	16	7	16	11	6	19
"AT1G02090"	839241	16	7	16	11	6	19
"AT1G02100"	837541	20	6	9	3	9	12
"AT1G02100"	837541	20	6	9	3	9	12
"AT1G02100"	837541	20	6	9	3	9	12
"AT1G02110"	839234	18	18	27	11	6	18
"AT1G02120"	839232	46	39	38	30	17	31
"AT1G02120"	839232	46	39	38	30	17	31
"AT1G02120"	839232	46	39	38	30	17	31
"AT1G02130"	837023	15	16	12	15	29	24
"AT1G04087"	NA	0	0	0	0	0	0
"AT1G02140"	837560	32	38	35	29	25	44
"AT1G02145"	5007658	17	8	7	8	3	7
"AT1G02145"	5007658	17	8	7	8	3	7
"AT1G02145"	5007658	17	8	7	8	3	7
"AT1G02145"	5007658	17	8	7	8	3	7
"AT1G02150"	839577	68	86	66	54	59	42
"AT1G02160"	839554	14	10	8	21	11	14
"AT1G02160"	839554	14	10	8	21	11	14
"AT1G02170"	839561	29	28	38	12	15	26
"AT1G02180"	839543	4	0	6	4	2	2
"AT1G02190"	839541	0	0	0	0	0	0
"AT1G02190"	839541	0	0	0	0	0	0
"AT1G02205"	837602	47	48	59	20	52	15
"AT1G02205"	837602	47	48	59	20	52	15
"AT1G02205"	837602	47	48	59	20	52	15
"AT1G02205"	837602	47	48	59	20	52	15
"AT1G02205"	837602	47	48	59	20	52	15
"AT1G08785"	NA	0	0	0	0	0	0
"AT1G04093"	NA	0	0	0	0	0	0
"AT1G02210"	839482	0	0	0	0	0	0
"AT1G02220"	839476	1	1	3	0	0	2
"AT1G02230"	837630	1	4	3	0	0	0
"AT1G02250"	839390	0	0	0	0	0	0
"AT1G02260"	839344	15	8	11	5	2	10
"AT1G02260"	839344	15	8	11	5	2	10
"AT1G02270"	839381	7	14	8	10	12	17
"AT1G02270"	839381	7	14	8	10	12	17
"AT1G08795"	NA	0	0	0	0	0	0
"AT1G02280"	839248	43	29	43	39	35	24
"AT1G02280"	839248	43	29	43	39	35	24
"AT1G02290"	839255	4	4	2	3	3	5
"AT1G02300"	839576	6	8	15	2	2	0
"AT1G02305"	839538	25	34	35	25	32	48
"AT1G04097"	NA	0	0	0	0	0	0
"AT1G02310"	839444	0	0	0	0	0	0
"AT1G02310"	839444	0	0	0	0	0	0
"AT1G04103"	NA	0	0	0	0	0	0
"AT1G02320"	839425	0	0	0	0	0	0
"AT1G02330"	839367	11	13	11	7	10	16
"AT1G02335"	3766642	8	9	11	3	8	4
"AT1G02340"	839300	0	0	2	0	0	0
"AT1G02340"	839300	0	0	2	0	0	0
"AT1G02350"	839490	0	2	0	0	0	0
"AT1G04107"	NA	2	6	3	12	5	3
"AT1G02360"	837724	15	15	12	20	5	33
"AT1G02360"	837724	15	15	12	20	5	33
"AT1G02360"	837724	15	15	12	20	5	33
"AT1G02370"	837735	2	1	7	2	3	6
"AT1G02380"	837745	5	0	0	1	0	0
"AT1G02390"	839558	3	0	0	0	2	0
"AT1G02400"	839508	3	2	6	0	0	2
"AT1G02400"	839508	3	2	6	0	0	2
"AT1G02405"	837769	1	0	1	0	0	1
"AT1G02410"	839364	14	12	13	7	8	12
"AT1G02410"	839364	14	12	13	7	8	12
"AT1G02410"	839364	14	12	13	7	8	12
"AT1G02420"	837779	0	0	0	0	0	0
"AT1G04117"	NA	0	0	0	0	0	0
"AT1G02430"	839242	0	0	0	0	0	0
"AT1G02430"	839242	0	0	0	0	0	0
"AT1G04123"	NA	0	0	0	0	0	0
"AT1G02440"	839230	0	0	1	0	0	1
"AT1G02440"	839230	0	0	1	0	0	1
"AT1G02450"	837800	2	3	4	9	18	36
"AT1G02460"	839443	3	1	0	1	7	5
"AT1G02470"	837812	1	0	0	0	0	0
"AT1G02470"	837812	1	0	0	0	0	0
"AT1G02475"	839236	9	9	10	15	10	7
"AT1G02480"	NA	0	0	0	0	0	0
"AT1G02490"	28716023	0	0	0	0	0	0
"AT1G02500"	839501	167	149	195	226	227	350
"AT1G02500"	839501	167	149	195	226	227	350
"AT1G02510"	837846	0	0	0	0	0	0
"AT1G02520"	839353	0	0	1	0	0	1
"AT1G02520"	839353	0	0	1	0	0	1
"AT1G02520"	839353	0	0	1	0	0	1
"AT1G02530"	839282	0	0	0	0	0	0
"AT1G02530"	839282	0	0	0	0	0	0
"AT1G02540"	839516	0	0	0	0	0	0
"AT1G02550"	837879	0	0	0	0	0	0
"AT1G02560"	839433	181	142	184	90	83	114
"AT1G02570"	839485	0	0	0	0	0	0
"AT1G02575"	10723100	0	0	0	0	0	0
"AT1G02580"	839422	0	1	0	0	0	0
"AT1G02580"	839422	0	1	0	0	0	0
"AT1G08805"	NA	0	0	0	0	0	0
"AT1G04127"	NA	0	0	0	0	0	0
"AT1G02590"	839372	0	0	0	0	0	0
"AT1G02600"	NA	0	0	0	0	0	0
"AT1G02610"	837915	1	2	4	1	0	4
"AT1G02610"	837915	1	2	4	1	0	4
"AT1G02610"	837915	1	2	4	1	0	4
"AT1G02620"	839269	1	0	0	0	0	0
"AT1G04133"	NA	0	0	0	0	0	0
"AT1G04137"	NA	0	0	0	0	0	0
"AT1G02630"	839240	0	1	0	0	1	0
"AT1G02630"	839240	0	1	0	0	1	0
"AT1G02640"	837940	33	33	30	2	4	1
"AT1G02650"	837951	3	2	1	0	0	1
"AT1G02650"	837951	3	2	1	0	0	1
"AT1G02660"	839544	23	12	21	2	2	2
"AT1G02670"	839532	2	0	0	0	0	0
"AT1G02670"	839532	2	0	0	0	0	0
"AT1G02670"	839532	2	0	0	0	0	0
"AT1G02670"	839532	2	0	0	0	0	0
"AT1G02670"	839532	2	0	0	0	0	0
"AT1G02670"	839532	2	0	0	0	0	0
"AT1G02670"	839532	2	0	0	0	0	0
"AT1G02680"	837962	4	7	7	9	2	7
"AT1G04143"	NA	0	0	0	0	0	0
"AT1G02690"	839517	9	6	6	1	1	3
"AT1G02690"	839517	9	6	6	1	1	3
"AT1G02700"	839492	0	0	0	0	0	1
"AT1G02705"	28716024	0	0	0	0	0	0
"AT1G02710"	839483	0	0	0	0	0	0
"AT1G02720"	839475	4	9	2	9	4	8
"AT1G02720"	839475	4	9	2	9	4	8
"AT1G02730"	839467	28	15	11	9	8	9
"AT1G02740"	839455	3	2	6	0	1	2
"AT1G02750"	839432	4	4	7	3	3	3
"AT1G02750"	839432	4	4	7	3	3	3
"AT1G02760"	NA	0	0	0	0	0	0
"AT1G02770"	839421	0	0	0	0	0	0
"AT1G02780"	839407	444	403	459	512	543	548
"AT1G02790"	839391	0	0	0	0	0	0
"AT1G02800"	839385	1	4	1	1	3	1
"AT1G02810"	838078	1	0	1	0	0	2
"AT1G02813"	839360	0	0	0	0	0	0
"AT1G02816"	839308	5	6	8	2	3	3
"AT1G02820"	839304	2	0	3	3	3	0
"AT1G02830"	838098	0	0	0	0	0	0
"AT1G02840"	839262	32	29	49	26	13	28
"AT1G02840"	839262	32	29	49	26	13	28
"AT1G02840"	839262	32	29	49	26	13	28
"AT1G02840"	839262	32	29	49	26	13	28
"AT1G02840"	839262	32	29	49	26	13	28
"AT1G02850"	839435	1	0	7	1	0	6
"AT1G02850"	839435	1	0	7	1	0	6
"AT1G02850"	839435	1	0	7	1	0	6
"AT1G02850"	839435	1	0	7	1	0	6
"AT1G02850"	839435	1	0	7	1	0	6
"AT1G02860"	839559	6	1	7	1	1	1
"AT1G02860"	839559	6	1	7	1	1	1
"AT1G02860"	839559	6	1	7	1	1	1
"AT1G04147"	NA	0	0	0	0	0	0
"AT1G02870"	839496	8	7	13	2	8	13
"AT1G04153"	NA	0	0	0	0	0	0
"AT1G08815"	NA	0	0	1	0	2	0
"AT1G02880"	839303	4	5	8	4	4	2
"AT1G02880"	839303	4	5	8	4	4	2
"AT1G02880"	839303	4	5	8	4	4	2
"AT1G02880"	839303	4	5	8	4	4	2
"AT1G02880"	839303	4	5	8	4	4	2
"AT1G02880"	839303	4	5	8	4	4	2
"AT1G02890"	839507	30	33	38	17	15	18
"AT1G02890"	839507	30	33	38	17	15	18
"AT1G02900"	839389	0	0	0	1	3	0
"AT1G02910"	839350	40	25	31	16	19	22
"AT1G02910"	839350	40	25	31	16	19	22
"AT1G02920"	839295	40	51	226	57	13	354
"AT1G02930"	839515	84	114	423	254	71	1391
"AT1G02930"	839515	84	114	423	254	71	1391
"AT1G02940"	839479	0	0	0	1	0	1
"AT1G02940"	839479	0	0	0	1	0	1
"AT1G02940"	839479	0	0	0	1	0	1
"AT1G02940"	839479	0	0	0	1	0	1
"AT1G02950"	838240	0	0	0	2	0	1
"AT1G02950"	838240	0	0	0	2	0	1
"AT1G02950"	838240	0	0	0	2	0	1
"AT1G02950"	838240	0	0	0	2	0	1
"AT1G02950"	838240	0	0	0	2	0	1
"AT1G02952"	NA	0	0	0	0	0	0
